s	real_super_population
HG01259	AMR
HG01260	AMR
HG01261	AMR
HG01269	AMR
HG01271	AMR
HG01272	AMR
HG01273	AMR
HG01274	AMR
HG01275	AMR
HG01276	AMR
HG01277	AMR
HG01278	AMR
HG01279	AMR
HG01280	AMR
HG01281	AMR
HG01284	AMR
HG01286	AMR
HG01301	AMR
HG01302	AMR
HG01303	AMR
HG01305	AMR
HG01308	AMR
HG01311	AMR
HG01312	AMR
HG01322	AMR
HG01323	AMR
HG01324	AMR
HG01325	AMR
HG01326	AMR
HG01327	AMR
HG01334	EUR
HG01341	AMR
HG01342	AMR
HG01343	AMR
HG01344	AMR
HG01345	AMR
HG01346	AMR
HG01347	AMR
HG01348	AMR
HG01349	AMR
HG01350	AMR
HG01351	AMR
HG01352	AMR
HG01353	AMR
HG01354	AMR
HG01355	AMR
HG01356	AMR
HG01357	AMR
HG01358	AMR
HG01359	AMR
HG01360	AMR
HG01361	AMR
HG01362	AMR
HG01363	AMR
HG01364	AMR
HG01365	AMR
HG01366	AMR
HG01367	AMR
HG01369	AMR
HG01372	AMR
HG01374	AMR
HG01375	AMR
HG01376	AMR
HG01377	AMR
HG01378	AMR
HG01379	AMR
HG01383	AMR
HG01384	AMR
HG01385	AMR
HG01389	AMR
HG01390	AMR
HG01391	AMR
HG01392	AMR
HG01393	AMR
HG01394	AMR
HG01395	AMR
HG01396	AMR
HG01397	AMR
HG01398	AMR
HG01402	AMR
HG01403	AMR
HG01404	AMR
HG01405	AMR
HG01411	AMR
HG01412	AMR
HG01413	AMR
HG01414	AMR
HG01415	AMR
HG01431	AMR
HG01432	AMR
HG01433	AMR
HG01435	AMR
HG01437	AMR
HG01438	AMR
HG01439	AMR
HG01440	AMR
HG01441	AMR
HG01442	AMR
HG01443	AMR
HG01444	AMR
HG01445	AMR
HG01447	AMR
HG01452	AMR
HG01453	AMR
HG01454	AMR
HG01455	AMR
HG01456	AMR
HG01457	AMR
HG01459	AMR
HG01461	AMR
HG01462	AMR
HG01463	AMR
HG01464	AMR
HG01465	AMR
HG01466	AMR
HG01468	AMR
HG01471	AMR
HG01473	AMR
HG01474	AMR
HG01477	AMR
HG01479	AMR
HG01480	AMR
HG01481	AMR
HG01482	AMR
HG01483	AMR
HG01484	AMR
HG01485	AMR
HG01486	AMR
HG01487	AMR
HG01488	AMR
HG01489	AMR
HG01490	AMR
HG01491	AMR
HG01492	AMR
HG01493	AMR
HG01494	AMR
HG01495	AMR
HG01496	AMR
HG01497	AMR
HG01498	AMR
HG01499	AMR
HG01500	EUR
HG01501	EUR
HG01502	EUR
HG01503	EUR
HG01504	EUR
HG01505	EUR
HG01506	EUR
HG01507	EUR
HG01508	EUR
HG01509	EUR
HG01510	EUR
HG01511	EUR
HG01512	EUR
HG01513	EUR
HG01514	EUR
HG01515	EUR
HG01516	EUR
HG01517	EUR
HG01518	EUR
HG01519	EUR
HG01520	EUR
HG01521	EUR
HG01522	EUR
HG01523	EUR
HG01524	EUR
HG01525	EUR
HG01526	EUR
HG01527	EUR
HG01528	EUR
HG01529	EUR
HG01530	EUR
HG01531	EUR
HG01532	EUR
HG01536	EUR
HG01537	EUR
HG01538	EUR
HG01550	AMR
HG01551	AMR
HG01552	AMR
HG01556	AMR
HG01565	AMR
HG01566	AMR
HG01567	AMR
HG01571	AMR
HG01572	AMR
HG01573	AMR
HG01577	AMR
HG01578	AMR
HG01579	AMR
HG01583	SAS
HG01586	SAS
HG01589	SAS
HG01590	SAS
HG01593	SAS
HG01594	SAS
HG01595	EAS
HG01596	EAS
HG01597	EAS
HG01598	EAS
HG01599	EAS
HG01600	EAS
HG01601	EUR
HG01602	EUR
HG01603	EUR
HG01604	EUR
HG01605	EUR
HG01606	EUR
HG01607	EUR
HG01608	EUR
HG01609	EUR
HG01610	EUR
HG01611	EUR
HG01612	EUR
HG01613	EUR
HG01614	EUR
