s	real_super_population
NA19716	AMR
NA19717	AMR
NA19718	AMR
NA19719	AMR
NA19720	AMR
NA19721	AMR
NA19722	AMR
NA19723	AMR
NA19724	AMR
NA19725	AMR
NA19726	AMR
NA19727	AMR
NA19728	AMR
NA19729	AMR
NA19730	AMR
NA19731	AMR
NA19732	AMR
NA19733	AMR
NA19734	AMR
NA19735	AMR
NA19737	AMR
NA19738	AMR
NA19740	AMR
NA19741	AMR
NA19742	AMR
NA19746	AMR
NA19747	AMR
NA19748	AMR
NA19749	AMR
NA19750	AMR
NA19751	AMR
NA19752	AMR
NA19753	AMR
NA19754	AMR
NA19755	AMR
NA19756	AMR
NA19757	AMR
NA19758	AMR
NA19759	AMR
NA19760	AMR
NA19761	AMR
NA19762	AMR
NA19763	AMR
NA19764	AMR
NA19766	AMR
NA19770	AMR
NA19771	AMR
NA19772	AMR
NA19773	AMR
NA19774	AMR
NA19775	AMR
NA19776	AMR
NA19777	AMR
NA19778	AMR
NA19779	AMR
NA19780	AMR
NA19781	AMR
NA19782	AMR
NA19783	AMR
NA19784	AMR
NA19785	AMR
NA19786	AMR
NA19787	AMR
NA19788	AMR
NA19789	AMR
NA19790	AMR
NA19792	AMR
NA19794	AMR
NA19795	AMR
NA19796	AMR
NA19797	AMR
NA19798	AMR
NA19818	AFR
NA19819	AFR
NA19828	AFR
NA19834	AFR
NA19835	AFR
NA19836	AFR
NA19900	AFR
NA19901	AFR
NA19902	AFR
NA19904	AFR
NA19905	AFR
NA19908	AFR
NA19909	AFR
NA19913	AFR
NA19914	AFR
NA19915	AFR
NA19916	AFR
NA19917	AFR
NA19918	AFR
NA19919	AFR
NA19920	AFR
NA19921	AFR
NA19922	AFR
NA19923	AFR
NA19924	AFR
NA19982	AFR
NA19983	AFR
NA19984	AFR
NA19985	AFR
NA20126	AFR
NA20127	AFR
NA20128	AFR
NA20129	AFR
NA20274	AFR
NA20276	AFR
NA20277	AFR
NA20278	AFR
NA20279	AFR
NA20281	AFR
NA20282	AFR
NA20284	AFR
NA20285	AFR
NA20287	AFR
NA20288	AFR
NA20289	AFR
NA20290	AFR
NA20291	AFR
NA20292	AFR
NA20294	AFR
NA20295	AFR
NA20296	AFR
NA20297	AFR
NA20298	AFR
NA20299	AFR
NA20300	AFR
NA20301	AFR
NA20302	AFR
NA20312	AFR
NA20313	AFR
NA20314	AFR
NA20316	AFR
NA20317	AFR
NA20318	AFR
NA20319	AFR
NA20320	AFR
NA20321	AFR
NA20322	AFR
NA20332	AFR
NA20333	AFR
NA20334	AFR
NA20335	AFR
NA20336	AFR
NA20337	AFR
NA20339	AFR
NA20340	AFR
NA20341	AFR
NA20342	AFR
NA20343	AFR
NA20344	AFR
NA20345	AFR
NA20346	AFR
NA20347	AFR
NA20348	AFR
NA20349	AFR
NA20350	AFR
NA20351	AFR
NA20355	AFR
NA20356	AFR
NA20357	AFR
NA20358	AFR
NA20359	AFR
NA20360	AFR
NA20361	AFR
NA20362	AFR
NA20363	AFR
NA20364	AFR
NA20412	AFR
NA20413	AFR
NA20414	AFR
NA20502	EUR
NA20503	EUR
NA20504	EUR
NA20505	EUR
NA20506	EUR
NA20507	EUR
NA20508	EUR
NA20509	EUR
NA20510	EUR
NA20511	EUR
NA20512	EUR
NA20513	EUR
NA20514	EUR
NA20515	EUR
NA20516	EUR
NA20517	EUR
NA20518	EUR
NA20519	EUR
NA20520	EUR
NA20521	EUR
NA20522	EUR
NA20524	EUR
NA20525	EUR
NA20526	EUR
NA20527	EUR
NA20528	EUR
NA20529	EUR
NA20530	EUR
NA20531	EUR
NA20532	EUR
NA20533	EUR
NA20534	EUR
NA20535	EUR
NA20536	EUR
NA20537	EUR
NA20538	EUR
NA20539	EUR
NA20540	EUR
NA20541	EUR
NA20542	EUR
NA20543	EUR
NA20544	EUR
NA20581	EUR
NA20582	EUR
NA20585	EUR
NA20586	EUR
NA20587	EUR
NA20588	EUR
NA20589	EUR
NA20752	EUR
NA20753	EUR
NA20754	EUR
NA20755	EUR
NA20756	EUR
NA20757	EUR
NA20758	EUR
NA20759	EUR
NA20760	EUR
NA20761	EUR
NA20762	EUR
NA20763	EUR
NA20764	EUR
NA20765	EUR
NA20766	EUR
NA20767	EUR
NA20768	EUR
NA20769	EUR
NA20770	EUR
NA20771	EUR
NA20772	EUR
NA20773	EUR
NA20774	EUR
NA20775	EUR
NA20778	EUR
NA20783	EUR
NA20785	EUR
NA20786	EUR
NA20787	EUR
NA20790	EUR
NA20792	EUR
NA20795	EUR
NA20796	EUR
NA20797	EUR
NA20798	EUR
NA20799	EUR
NA20800	EUR
NA20801	EUR
NA20802	EUR
NA20803	EUR
NA20804	EUR
NA20805	EUR
NA20806	EUR
NA20807	EUR
NA20808	EUR
NA20809	EUR
NA20810	EUR
NA20811	EUR
NA20812	EUR
NA20813	EUR
NA20814	EUR
NA20815	EUR
NA20816	EUR
NA20818	EUR
NA20819	EUR
NA20821	EUR
NA20822	EUR
NA20826	EUR
NA20827	EUR
NA20828	EUR
NA20829	EUR
NA20831	EUR
NA20832	EUR
NA20845	SAS
NA20846	SAS
NA20847	SAS
NA20849	SAS
NA20850	SAS
NA20851	SAS
NA20852	SAS
NA20853	SAS
NA20854	SAS
NA20856	SAS
NA20858	SAS
NA20859	SAS
NA20861	SAS
NA20862	SAS
NA20863	SAS
NA20864	SAS
NA20866	SAS
NA20867	SAS
NA20868	SAS
NA20869	SAS
NA20870	SAS
NA20871	SAS
NA20872	SAS
NA20873	SAS
NA20874	SAS
NA20875	SAS
NA20876	SAS
NA20877	SAS
NA20878	SAS
NA20879	SAS
NA20881	SAS
NA20882	SAS
NA20883	SAS
NA20884	SAS
NA20885	SAS
NA20886	SAS
NA20887	SAS
NA20888	SAS
NA20889	SAS
NA20890	SAS
NA20891	SAS
NA20892	SAS
NA20893	SAS
NA20894	SAS
NA20895	SAS
NA20896	SAS
NA20897	SAS
NA20898	SAS
NA20899	SAS
NA20900	SAS
NA20901	SAS
NA20902	SAS
NA20903	SAS
NA20904	SAS
NA20905	SAS
NA20906	SAS
NA20907	SAS
NA20908	SAS
NA20909	SAS
NA20910	SAS
NA20911	SAS
NA21086	SAS
NA21087	SAS
NA21088	SAS
NA21089	SAS
NA21090	SAS
NA21091	SAS
NA21092	SAS
NA21093	SAS
NA21094	SAS
NA21095	SAS
NA21097	SAS
NA21098	SAS
NA21099	SAS
NA21100	SAS
NA21101	SAS
NA21102	SAS
NA21103	SAS
NA21104	SAS
NA21105	SAS
NA21106	SAS
NA21107	SAS
NA21108	SAS
NA21109	SAS
NA21110	SAS
NA21111	SAS
NA21112	SAS
NA21113	SAS
NA21114	SAS
NA21115	SAS
NA21116	SAS
NA21117	SAS
NA21118	SAS
NA21119	SAS
NA21120	SAS
NA21121	SAS
NA21122	SAS
NA21123	SAS
NA21124	SAS
NA21125	SAS
NA21126	SAS
NA21127	SAS
NA21128	SAS
NA21129	SAS
NA21130	SAS
NA21133	SAS
NA21134	SAS
NA21135	SAS
NA21137	SAS
NA21141	SAS
NA21142	SAS
NA21143	SAS
NA21144	SAS
